,Description,URL,GameName
0,10000000: The Dungeon Crawling Matching Game,https://store.steampowered.com/app/227580/10000000/,"10,000,000"
1,"100% Orange Juice is a digital multiplayer board game populated by developer Orange Juice's all-star cast. Characters from Flying Red Barrel, QP Shooting, Suguri and Sora come together with all-new characters to duke it out... with dice.",https://store.steampowered.com/app/282800/100_Orange_Juice/,100% Orange Juice
2,"140 is a challenging minimalistic platformer with abstract colorful graphics. Rhythmic awareness is required to overcome obstacles controlled by an energetic, yet melancholic electronic soundtrack.",https://store.steampowered.com/app/242820/140/,140
3,404Sight is a free game made in support of net neutrality. It’s a 3D playground runner influenced by parkour running with the addition of a special ping ability that reveals areas that can speed the player up or slow them down.,https://store.steampowered.com/app/361630/404Sight/,404Sight
4,"The post-apocalyptic dark comedy is back - remastered and even more radioactive than before! Scavenge supplies, rescue your family, and stay alive in your fallout shelter. Make difficult decisions, hunt mutant roaches... and maybe survive. Or not.",https://store.steampowered.com/app/1012880/60_Seconds_Reatomized/,60 Seconds!
5,"8-Bit Armies is a retro Real-Time Strategy game. With a colorful, blocky voxel art style, 8-Bit Armies is Petroglyph's most fast-paced, friendly, and accessible RTS game to date. Featuring a campaign of 25 single-player missions, 12 co-op missions, multiplayer and skirmish modes.",https://store.steampowered.com/app/427250/8Bit_Armies/,8-Bit Armies
6,8BitMMO is a retro-style 2D massively multiplayer game! It's a giant construction sandbox -- you can build a home or a castle in a persistent streaming world. Found and manage your own city. Fight evil LawyerCats and engage in Player vs Player battle.,https://store.steampowered.com/app/250420/8BitMMO/,8BitMMO
7,"An experimental short from the creator of To the Moon & Finding Paradise: A simple & surreal 1-hour interactive animation about a boy and an injured bird, told without dialogues.",https://store.steampowered.com/app/327410/A_Bird_Story/,A Bird Story
8,"A Story About My Uncle is a first person platforming adventure game about a boy who searches for his lost uncle, and ends up in a world he couldn’t imagine existed. The movement is a crucial part of the games core gameplay – focusing on swinging through the world with a grappling hook that gives the player a wonderful sense of speed and...",https://store.steampowered.com/app/278360/A_Story_About_My_Uncle/,A Story About My Uncle
9,"The empires of Zemuria have narrowly managed to escape the Great Twilight, a curse that threatened to end the world, thanks to the valiant efforts of those known as heroes. This has resulted in a ripple effect of events that hurtles the series toward its thrilling conclusion.",https://store.steampowered.com/app/1562940/THE_LEGEND_OF_HEROES_HAJIMARI_NO_KISEKI/,A.V.A. Alliance of Valiant Arms™
10,"From the art director of Journey®, ABZÛ is a beautiful underwater adventure that evokes the dream of diving. Immerse yourself in a vibrant hidden world bursting with color and life as you descend into the heart of the ocean. But beware as you swim deeper as dangers lurk in the depths.",https://store.steampowered.com/app/384190/ABZU/,ABZÛ
11,,https://store.steampowered.com/search/?term=ACE+COMBAT%E2%84%A2+ASSAULT+HORIZON+Enhanced+Edition,ACE COMBAT™ ASSAULT HORIZON Enhanced Edition
12,"""You are outgunned. You are massively outnumbered. You must win."" These are your orders. Humanity has already fought its war against the machines -- and lost. AI death squads stand watch over every planet and every wormhole, the few remaining human settlements are held captive in orbiting bubbles, and the AIs have turned their...",https://store.steampowered.com/app/40400/AI_War_Fleet_Command/,AI War: Fleet Command
13,"In Tokyo’s popular ”Electric Town” district, Akihabara, vampires called “Synthisters” walk among us. You must identify and dispose of them the only way you know how – by engaging them in hand-to-hand combat in order to strip them of their clothes so their bodies melt away in the sunlight.",https://store.steampowered.com/app/333980/AKIBAS_TRIP_Undead__Undressed/,AKIBA'S TRIP: Undead & Undressed
14,"The world’s first and premier Action MMO Third Person Shooter allows you to choose between two sides of the law. Play as Enforcer or Criminal, customize your gear for the task at hand and hit the streets and play how you want in a city filled with more action this side of a Hollywood blockbuster.",https://store.steampowered.com/app/113400/APB_Reloaded/,APB Reloaded
15,Aberoth is a fantasy massively multiplayer online role playing game with charming retro graphics and tons of freedom.,https://store.steampowered.com/app/354200/Aberoth/,Aberoth
16,Absolute Drift is a racing game about becoming a master at the art of drifting.,https://store.steampowered.com/app/320140/Absolute_Drift/,Absolute Drift
17,From indie Chilean developer ACE Team comes a new side-scrolling action adventure game featuring a complex fighting engine in procedurally generated levels that destines its three warriors to battle a different abyss each time! Choose your hero and also learn to possess your enemies in the abyss…,https://store.steampowered.com/app/255070/Abyss_Odyssey/,Abyss Odyssey
18,"Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second.",https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/,Accounting
19,Act of Aggression – Reboot Edition brings the techno-thriller RTS game Act of Aggression to a higher level. The Reboot Edition offers a full gameplay overhaul in skirmish mode against the AI and in your multiplayer battles.,https://store.steampowered.com/app/318020/Act_of_Aggression__Reboot_Edition/,Act of Aggression
20,"Welcome, eager young investor, to AdVenture Capitalist! Arguably the world's greatest Capitalism simulator!",https://store.steampowered.com/app/346900/AdVenture_Capitalist/,AdVenture Capitalist
21,"At the dawn of time, a terrible war raged between the forces of good and evil, ending in the destruction of the world of Agarest. After their victory, the Gods of Light unified the decaying bodies of the Gods of Darkness and created a new world.",https://store.steampowered.com/app/237890/Agarest_Generations_of_War/,Agarest: Generations of War
22,"Age of Empires II has been re-imagined in high definition with new features, trading cards, improved AI, workshop support, multiplayer, Steamworks integration and more!",https://store.steampowered.com/app/221380/Age_of_Empires_II_2013/,Age of Empires II (2013)
23,"Age of Mythology is back! Choose your god and take to the battlefield in this classic, upgraded with full Steamworks integration and enhanced features.",https://store.steampowered.com/app/266840/Age_of_Mythology_Extended_Edition/,Age of Mythology: Extended Edition
24,"Age of Wonders III is the long anticipated sequel to the award-winning strategy series. Delivering a unique mix of Empire Building, Role Playing and Warfare, Age of Wonders III offers the ultimate in turn-based fantasy strategy for veterans of the series and new players alike!",https://store.steampowered.com/app/226840/Age_of_Wonders_III/,Age of Wonders III
